order_id,product,quantity,price,customer_id,status,order_date,rating
1001,Laptop,2,1200.0,501,completed,2024-01-10,4
1002,Phone,1,800.0,502,pending,2024-01-11,5
1003,Tablet,1,450.0,503,completed,2024-01-12,3
1004,Laptop,3,1200.0,504,shipped,2024-01-13,4
1005,Phone,1,800.0,505,pending,2024-01-14,4
1006,Tablet,2,450.0,506,completed,2024-01-15,5
1007,Tablet,1,450.0,507,shipped,2024-01-16,3
1009,Phone,2,800.0,509,pending,2024-01-18,4
1010,Tablet,1,450.0,510,completed,2024-01-19,5
1011,Laptop,3,1200.0,511,shipped,2024-01-20,4
1012,Tablet,1,450.0,512,completed,2024-01-21,3
